iter	Passed	Remaining
0	142	142678
1	147	73672
2	151	50508
3	157	39231
4	162	32374
5	168	27906
6	173	24604
7	179	22226
8	183	20210
9	190	18839
10	196	17622
11	200	16506
12	205	15585
13	209	14773
14	214	14084
15	218	13454
16	222	12874
17	226	12332
18	229	11835
19	231	11328
20	233	10888
21	235	10476
22	237	10089
23	239	9730
24	241	9402
25	243	9114
26	244	8826
27	246	8541
28	247	8279
29	248	8035
30	250	7815
31	251	7601
32	252	7405
33	253	7212
34	254	7030
35	256	6858
36	257	6700
37	258	6549
38	260	6408
39	261	6276
40	262	6142
41	263	6015
42	264	5896
43	266	5781
44	267	5671
45	268	5567
46	269	5466
47	271	5376
48	272	5287
49	273	5204
50	275	5122
51	276	5040
52	277	4963
53	279	4889
54	280	4816
55	281	4744
56	282	4675
57	283	4609
58	284	4544
59	286	4481
60	287	4421
61	288	4363
62	290	4313
63	291	4261
64	292	4210
65	293	4159
66	294	4107
67	296	4059
68	297	4011
69	298	3963
70	299	3917
71	300	3873
72	301	3829
73	302	3788
74	303	3747
75	304	3707
76	306	3668
77	307	3629
78	308	3595
79	309	3560
80	310	3528
81	312	3494
82	312	3455
83	313	3423
84	315	3392
85	316	3362
86	317	3331
87	318	3300
88	319	3270
89	320	3241
90	321	3214
91	322	3186
92	323	3158
93	324	3131
94	326	3106
95	327	3082
96	328	3060
97	330	3039
98	331	3015
99	332	2992
100	333	2969
101	334	2947
102	335	2925
103	337	2903
104	338	2882
105	339	2861
106	340	2839
107	341	2818
108	342	2799
109	343	2780
110	344	2761
111	345	2742
112	347	2725
113	348	2708
114	349	2690
115	350	2673
116	351	2653
117	352	2637
118	354	2621
119	355	2605
120	356	2590
121	357	2573
122	358	2557
123	360	2544
124	361	2529
125	362	2516
126	364	2503
127	365	2491
128	367	2479
129	368	2465
130	369	2451
131	370	2437
132	371	2424
133	373	2410
134	374	2398
135	375	2386
136	376	2373
137	377	2360
138	379	2348
139	380	2335
140	381	2323
141	382	2311
142	383	2299
143	385	2289
144	386	2278
145	387	2266
146	388	2255
147	389	2243
148	390	2232
149	392	2221
150	393	2210
151	394	2200
152	395	2190
153	396	2178
154	397	2167
155	398	2158
156	399	2147
157	401	2138
158	402	2129
159	403	2120
160	404	2108
161	405	2099
162	406	2089
163	408	2080
164	409	2070
165	410	2060
166	411	2050
167	412	2041
168	413	2033
169	414	2024
170	415	2015
171	416	2006
172	417	1997
173	419	1989
174	420	1981
175	421	1973
176	422	1965
177	423	1956
178	424	1947
179	425	1938
180	426	1929
181	427	1921
182	428	1913
183	429	1904
184	430	1896
185	431	1887
186	432	1880
187	433	1871
188	434	1865
189	435	1857
190	437	1851
191	438	1844
192	439	1838
193	440	1831
194	441	1823
195	442	1816
196	443	1809
197	444	1802
198	445	1794
199	446	1787
200	447	1780
201	448	1773
202	449	1766
203	450	1759
204	451	1752
205	452	1745
206	453	1738
207	454	1731
208	456	1725
209	457	1720
210	458	1715
211	459	1709
212	461	1704
213	462	1698
214	463	1691
215	464	1685
216	465	1680
217	466	1673
218	467	1668
219	468	1662
220	469	1655
221	470	1649
222	471	1643
223	472	1637
224	473	1632
225	475	1627
226	476	1622
227	477	1617
228	478	1612
229	479	1606
230	481	1601
231	482	1596
232	483	1590
233	484	1585
234	485	1580
235	486	1575
236	487	1570
237	488	1564
238	489	1559
239	490	1553
240	491	1548
241	492	1543
242	494	1539
243	495	1535
244	496	1531
245	497	1526
246	499	1521
247	500	1516
248	501	1511
249	502	1506
250	503	1501
251	504	1496
252	505	1491
253	506	1486
254	507	1481
255	508	1476
256	509	1472
257	510	1467
258	511	1462
259	512	1458
260	513	1455
261	515	1451
262	516	1446
263	517	1441
264	518	1437
265	519	1432
266	520	1428
267	521	1423
268	522	1418
269	523	1414
270	524	1409
271	525	1405
272	526	1401
273	527	1397
274	528	1393
275	529	1388
276	530	1385
277	532	1381
278	533	1378
279	534	1374
280	535	1370
281	536	1366
282	537	1362
283	538	1358
284	539	1353
285	540	1349
286	541	1345
287	542	1341
288	543	1337
289	544	1333
290	545	1329
291	546	1325
292	548	1322
293	549	1319
294	550	1316
295	551	1312
296	552	1308
297	554	1305
298	555	1301
299	556	1297
300	557	1293
301	558	1289
302	559	1286
303	560	1282
304	561	1278
305	562	1274
306	563	1271
307	564	1267
308	565	1264
309	566	1261
310	567	1257
311	568	1254
312	570	1251
313	571	1248
314	572	1245
315	573	1241
316	574	1238
317	575	1234
318	576	1230
319	577	1227
320	578	1223
321	579	1220
322	580	1217
323	581	1213
324	582	1210
325	583	1207
326	584	1203
327	586	1200
328	587	1197
329	588	1194
330	589	1192
331	591	1189
332	592	1186
333	593	1183
334	594	1180
335	595	1177
336	597	1174
337	597	1171
338	599	1168
339	600	1165
340	601	1162
341	602	1158
342	603	1155
343	604	1152
344	605	1149
345	607	1148
346	608	1145
347	610	1142
348	611	1140
349	612	1137
350	613	1134
351	614	1131
352	615	1128
353	616	1125
354	617	1122
355	618	1119
356	620	1116
357	621	1114
358	622	1111
359	624	1109
360	625	1106
361	626	1104
362	627	1102
363	629	1099
364	630	1096
365	631	1094
366	632	1091
367	633	1088
368	634	1085
369	636	1082
370	637	1080
371	638	1077
372	639	1075
373	640	1072
374	641	1069
375	643	1067
376	644	1065
377	646	1063
378	647	1060
379	648	1057
380	649	1055
381	651	1053
382	652	1050
383	653	1048
384	654	1045
385	655	1042
386	656	1039
387	657	1037
388	658	1034
389	660	1032
390	661	1030
391	663	1028
392	664	1026
393	665	1023
394	666	1021
395	667	1018
396	668	1015
397	669	1013
398	671	1010
399	672	1008
400	673	1005
401	674	1002
402	675	1000
403	676	997
404	677	995
405	678	993
406	680	990
407	681	988
408	682	986
409	683	984
410	684	981
411	685	979
412	687	976
413	688	974
414	689	971
415	690	969
416	691	966
417	692	964
418	693	961
419	694	959
420	695	956
421	697	954
422	698	952
423	699	950
424	701	948
425	702	946
426	703	944
427	704	941
428	705	939
429	706	936
430	707	934
431	709	932
432	710	930
433	712	928
434	713	927
435	715	925
436	716	923
437	717	921
438	719	919
439	720	916
440	721	914
441	722	912
442	724	910
443	725	908
444	726	905
445	727	903
446	728	901
447	729	899
448	730	896
449	731	894
450	732	892
451	734	890
452	735	888
453	736	886
454	738	884
455	739	882
456	740	879
457	741	877
458	742	875
459	743	873
460	744	870
461	745	868
462	747	866
463	748	864
464	749	862
465	750	859
466	751	857
467	752	855
468	753	853
469	755	851
470	756	849
471	757	847
472	759	845
473	760	843
474	761	841
475	762	839
476	763	837
477	764	835
478	765	833
479	767	830
480	768	828
481	769	826
482	770	824
483	771	822
484	772	820
485	774	818
486	775	816
487	776	814
488	777	812
489	778	810
490	779	808
491	780	806
492	781	803
493	782	801
494	783	799
495	784	797
496	785	795
497	786	793
498	787	790
499	788	788
500	790	787
501	791	785
502	793	783
503	794	781
504	795	779
505	796	777
506	797	775
507	798	773
508	799	771
509	800	769
510	801	767
511	802	765
512	804	763
513	805	761
514	806	759
515	807	757
516	808	755
517	809	753
518	811	751
519	812	749
520	813	748
521	814	746
522	815	744
523	816	742
524	818	740
525	819	738
526	820	736
527	821	734
528	822	732
529	823	730
530	824	728
531	825	726
532	826	724
533	828	722
534	829	720
535	830	719
536	831	717
537	833	715
538	834	713
539	835	711
540	836	710
541	838	708
542	839	706
543	840	704
544	841	702
545	842	700
546	843	698
547	844	696
548	845	694
549	847	693
550	848	691
551	849	689
552	850	687
553	852	685
554	853	684
555	854	682
556	855	680
557	857	679
558	859	677
559	860	676
560	862	674
561	863	673
562	864	671
563	866	669
564	867	668
565	869	666
566	870	664
567	871	662
568	872	661
569	874	659
570	875	657
571	876	656
572	878	654
573	880	653
574	882	652
575	883	650
576	885	648
577	886	647
578	887	645
579	889	643
580	890	642
581	892	640
582	893	638
583	894	637
584	895	635
585	897	633
586	898	632
587	900	630
588	901	629
589	902	627
590	904	625
591	905	623
592	906	622
593	907	620
594	909	618
595	910	617
596	911	615
597	913	613
598	914	612
599	916	611
600	918	609
601	919	608
602	920	606
603	922	604
604	923	602
605	924	601
606	926	599
607	927	597
608	928	595
609	929	594
610	930	592
611	931	590
612	932	588
613	934	587
614	935	585
615	936	583
616	938	582
617	939	580
618	940	578
619	941	577
620	942	575
621	944	573
622	945	571
623	946	570
624	947	568
625	949	567
626	951	565
627	953	564
628	954	563
629	956	561
630	957	559
631	958	558
632	959	556
633	961	554
634	962	553
635	963	551
636	964	549
637	965	547
638	966	546
639	967	544
640	968	542
641	969	540
642	970	539
643	972	537
644	973	535
645	974	534
646	975	532
647	976	530
648	977	528
649	978	527
650	980	525
651	981	523
652	982	521
653	983	520
654	984	518
655	985	516
656	986	514
657	987	513
658	988	511
659	989	509
660	991	508
661	992	506
662	993	505
663	995	503
664	996	501
665	997	500
666	998	498
667	999	496
668	1000	494
669	1001	493
670	1002	491
671	1003	489
672	1004	488
673	1005	486
674	1006	484
675	1007	483
676	1009	481
677	1010	479
678	1011	478
679	1012	476
680	1013	474
681	1014	473
682	1015	471
683	1016	469
684	1017	468
685	1018	466
686	1020	464
687	1021	463
688	1022	461
689	1023	459
690	1024	457
691	1025	456
692	1026	454
693	1027	453
694	1029	451
695	1030	449
696	1031	448
697	1032	446
698	1033	444
699	1034	443
700	1035	441
701	1036	439
702	1037	438
703	1038	436
704	1039	434
705	1040	433
706	1041	431
707	1042	429
708	1043	428
709	1044	426
710	1045	424
711	1046	423
712	1047	421
713	1048	420
714	1049	418
715	1050	416
716	1051	415
717	1052	413
718	1053	411
719	1054	410
720	1055	408
721	1056	406
722	1057	405
723	1058	403
724	1059	401
725	1060	400
726	1061	398
727	1062	396
728	1063	395
729	1065	393
730	1066	392
731	1067	390
732	1069	389
733	1070	387
734	1071	386
735	1072	384
736	1073	383
737	1074	381
738	1075	380
739	1077	378
740	1078	376
741	1079	375
742	1080	373
743	1081	372
744	1082	370
745	1083	369
746	1085	367
747	1086	366
748	1087	364
749	1088	362
750	1089	361
751	1090	359
752	1091	358
753	1092	356
754	1093	354
755	1094	353
756	1095	351
757	1096	350
758	1097	348
759	1098	347
760	1099	345
761	1101	343
762	1102	342
763	1103	340
764	1104	339
765	1106	337
766	1107	336
767	1108	334
768	1109	333
769	1110	331
770	1111	330
771	1112	328
772	1113	326
773	1114	325
774	1115	323
775	1116	322
776	1117	320
777	1118	319
778	1119	317
779	1120	316
780	1121	314
781	1123	313
782	1124	311
783	1125	310
784	1126	308
785	1127	306
786	1128	305
787	1129	303
788	1130	302
789	1131	300
790	1132	299
791	1133	297
792	1134	296
793	1135	294
794	1136	292
795	1137	291
796	1138	290
797	1139	288
798	1141	287
799	1142	285
800	1143	284
801	1144	282
802	1145	281
803	1146	279
804	1147	277
805	1148	276
806	1149	274
807	1150	273
808	1151	271
809	1152	270
810	1153	268
811	1154	267
812	1155	265
813	1156	264
814	1158	262
815	1159	261
816	1160	260
817	1161	258
818	1162	257
819	1163	255
820	1165	254
821	1166	252
822	1167	251
823	1168	249
824	1169	247
825	1170	246
826	1171	244
827	1172	243
828	1173	242
829	1174	240
830	1175	239
831	1176	237
832	1177	236
833	1178	234
834	1179	233
835	1180	231
836	1181	230
837	1182	228
838	1183	227
839	1184	225
840	1185	224
841	1186	222
842	1187	221
843	1188	219
844	1189	218
845	1190	216
846	1191	215
847	1192	213
848	1193	212
849	1195	210
850	1196	209
851	1197	208
852	1198	206
853	1199	205
854	1200	203
855	1201	202
856	1202	200
857	1203	199
858	1204	197
859	1205	196
860	1206	194
861	1207	193
862	1208	191
863	1209	190
864	1210	188
865	1211	187
866	1213	186
867	1214	184
868	1215	183
869	1216	181
870	1217	180
871	1218	178
872	1219	177
873	1220	175
874	1221	174
875	1222	173
876	1223	171
877	1224	170
878	1225	168
879	1226	167
880	1227	165
881	1228	164
882	1229	162
883	1230	161
884	1231	160
885	1232	158
886	1233	157
887	1234	155
888	1235	154
889	1236	152
890	1237	151
891	1238	149
892	1239	148
893	1240	147
894	1241	145
895	1242	144
896	1243	142
897	1244	141
898	1245	139
899	1246	138
900	1247	137
901	1248	135
902	1249	134
903	1250	132
904	1251	131
905	1252	129
906	1253	128
907	1254	127
908	1255	125
909	1256	124
910	1257	122
911	1258	121
912	1259	120
913	1260	118
914	1261	117
915	1262	115
916	1263	114
917	1264	112
918	1265	111
919	1266	110
920	1267	108
921	1268	107
922	1269	105
923	1270	104
924	1271	103
925	1272	101
926	1273	100
927	1274	98
928	1275	97
929	1276	96
930	1277	94
931	1278	93
932	1279	91
933	1280	90
934	1281	89
935	1282	87
936	1283	86
937	1284	84
938	1285	83
939	1286	82
940	1288	80
941	1288	79
942	1289	77
943	1291	76
944	1291	75
945	1292	73
946	1293	72
947	1294	71
948	1295	69
949	1296	68
950	1297	66
951	1298	65
952	1299	64
953	1300	62
954	1301	61
955	1302	59
956	1303	58
957	1305	57
958	1306	55
959	1307	54
960	1308	53
961	1309	51
962	1310	50
963	1311	48
964	1312	47
965	1313	46
966	1314	44
967	1315	43
968	1316	42
969	1317	40
970	1318	39
971	1318	37
972	1319	36
973	1320	35
974	1321	33
975	1322	32
976	1324	31
977	1325	29
978	1326	28
979	1327	27
980	1328	25
981	1329	24
982	1330	23
983	1331	21
984	1332	20
985	1333	18
986	1334	17
987	1335	16
988	1336	14
989	1337	13
990	1338	12
991	1339	10
992	1340	9
993	1341	8
994	1343	6
995	1344	5
996	1345	4
997	1346	2
998	1347	1
999	1348	0
