iter	Passed	Remaining
0	14	1477
1	24	1196
2	30	971
3	44	1056
4	49	932
5	53	844
6	56	747
7	58	673
8	60	615
9	63	570
10	65	530
11	67	494
12	69	463
13	71	438
14	73	418
15	76	401
16	79	390
17	82	376
18	85	362
19	87	349
20	90	339
21	93	333
22	96	323
23	99	314
24	101	304
25	103	295
26	106	286
27	109	281
28	112	274
29	114	267
30	116	259
31	118	251
32	120	245
33	123	239
34	125	233
35	127	227
36	129	221
37	131	214
38	133	208
39	135	203
40	137	198
41	138	191
42	140	185
43	141	180
44	143	175
45	145	170
46	146	165
47	149	161
48	151	157
49	154	154
50	155	149
51	157	145
52	158	140
53	160	136
54	162	132
55	164	129
56	167	126
57	170	123
58	172	119
59	175	116
60	177	113
61	180	110
62	183	107
63	186	104
64	188	101
65	191	98
66	193	95
67	196	92
68	198	89
69	201	86
70	203	83
71	204	79
72	206	76
73	207	72
74	208	69
75	211	66
76	213	63
77	215	60
78	216	57
79	218	54
80	219	51
81	221	48
82	222	45
83	224	42
84	226	39
85	228	37
86	230	34
87	232	31
88	233	28
89	235	26
90	236	23
91	238	20
92	239	18
93	243	15
94	245	12
95	247	10
96	248	7
97	250	5
98	252	2
99	253	0
